"Location","Story","Nerve","Cost","Reward","Profit","Profit/Nerve","Place","Ignite","Stoke","Dampen"
"Laboratory","Bald Faced Destruction",30,71193,270000,198807,6626,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Lakehouse","Heat the Rich",20,1058,43000,41942,2097,"Gasoline; Gasoline","Unknown","",""
"Lakehouse","Burning Through Cash",15,14032,130000,115968,7731,"Hydrogen Tank","Unknown","",""
"Lakehouse","It's a Write Off",25,1587,250000,248413,9936,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Law Firm","You're Fired!",30,2116,170000,167884,5596,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Law Firm","The Smoking Gun",30,40100,490000,449900,14996,"Kerosene; Kerosene; Kerosene; Kerosene","Unknown","",""
"Law Firm","Under the Table",20,1058,430000,428942,21447,"Gasoline; Gasoline","Unknown","",""
"Library","Fire in the Belly",35,2116,40000,37884,1082,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (7s)",""
"Library","Read the Room",25,30075,150000,119925,4797,"Kerosene; Kerosene; Kerosene","Unknown","",""
"Lifeguard Hut","Baewatch",15,10025,17000,6975,465,"Kerosene","Unknown (Crit)","",""
"Lingerie Store","The Male Gaze",25,1587,130000,128413,5136,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Liquor Store","Liquor on the Back Row",15,10025,38000,27975,1865,"Kerosene","Unknown","",""
"Liquor Store","Crafty Devil",15,529,106000,105471,7031,"Gasoline","Unknown","",""
"Liquor Store","Cop Some Heat",20,1058,49000,47942,2397,"Gasoline; Gasoline","Unknown","",""
"Loanshark Office","Damned If You Don't",15,529,100000,99471,6631,"Gasoline","Unknown","",""
"Luxury Villa","Follow the Leader",30,56128,140000,83872,2795,"Hydrogen Tank; Hydrogen Tank; Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Luxury Villa","Cook it Rare",25,30075,380000,349925,13997,"Kerosene; Kerosene; Kerosene","Unknown","",""
"Luxury Villa","Faction Fiction",20,63342,87000,23658,1182,"Kerosene; Potassium Nitrate","Unknown","",""
"Manor House","To the Manor Scorned",30,68407,105000,36593,1219,"Gasoline; Gasoline; Potassium Nitrate; Hydrogen Tank","Unknown","",""
"Manor House","Kindling Spirits",25,30075,90000,59925,2397,"Kerosene; Kerosene; Kerosene","Unknown","",""
"Manor House","Ash or Credit?",20,28064,210000,181936,9096,"Hydrogen Tank","Unknown","Hydrogen Tank (2s)",""
"Mechanic Shop","Beyond Repair",30,59407,83000,23593,786,"Gasoline; Gasoline; Potassium Nitrate","Unknown","Diesel (71s)",""
"Mechanic Shop","Like for Like",20,28064,110000,81936,4096,"Hydrogen Tank","Unknown","Hydrogen Tank (6s)",""
"Medical Center","See No Evil",25,20050,80000,59950,2398,"Kerosene; Kerosene","Unknown (Fail); Unknown (2s)","",""
"Medical Center","Clinical Exposure",20,26654,190000,163346,8167,"Gasoline","Unknown","",""
"Medical Center","Womb With a View",20,20050,58000,37950,1897,"Kerosene; Kerosene","Unknown","",""
"Mobile Home","Cooked and Burned",25,55815,84000,28185,1127,"Gasoline; Potassium Nitrate","Unknown","",""
"Mobile Home","Out with a Bang",20,529,35000,34471,1723,"Gasoline","Unknown","","Blanket (13s)"
"Mobile Home","Hot Off the Press",15,10025,32000,21975,1465,"Kerosene","Unknown","",""
"Mobile Home","Family Feud",15,529,8000,7471,498,"Gasoline","Unknown","",""
"Motorcycle Club","Burn Rubber",25,22449,100000,77551,3102,"Kerosene; Kerosene","Unknown","",""
"Motorcycle Club","Raising Hell",30,1587,190000,188413,6280,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (66s)",""
"Music Store","The Savage Beast",20,1058,190000,188942,9447,"Gasoline; Gasoline","Unknown","",""
"Music Store","Swansong",20,24042,61000,36958,1847,"Kerosene; Methane Tank","Unknown","",""
"Newspaper Office","Hot Gossip",25,1058,77000,75942,3037,"Gasoline; Gasoline","Unknown (Fail); Unknown (2s)","",""
"Nightclub","Party Pooper",20,20050,84000,63950,3197,"Kerosene; Kerosene","Unknown","",""
"Nightclub","Burn up the Dancefloor",20,1058,180000,178942,8947,"Gasoline; Gasoline","Unknown","",""
"Nightclub","Disco Inferno",25,42096,140000,97904,3916,"Hydrogen Tank; Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Nightclub","Gentrifried",25,25082,230000,204918,8196,"Kerosene; Kerosene","Unknown","Diesel (50s)",""
"Office Block","Workplace Burnout",20,1058,75000,73942,3697,"Gasoline; Gasoline","Unknown","",""
"Office Block","Burning Ambition",20,20050,72000,51950,2597,"Kerosene; Kerosene","Unknown","",""
"Office Block","Chance of Redemption",20,10554,94000,83446,4172,"Gasoline; Kerosene","Unknown","",""
"Office Block","Hostile Takeover",25,1587,310000,308413,12336,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Palace","The Ashes of Empire",20,1058,200000,198942,9947,"Gasoline; Gasoline","Unknown","",""
"Paper Mill","It's Not All White",20,28064,190000,161936,8096,"Hydrogen Tank","Unknown","Hydrogen Tank (3s)",""
"Penthouse","Cleansed Through Fire",15,5032,80000,74968,4997,"Diesel","Unknown","",""
"Penthouse","Banking on It",30,6152,220000,213848,7128,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Penthouse","Cut Corners",30,56128,320000,263872,8795,"Hydrogen Tank; Hydrogen Tank; Hydrogen Tank","Unknown","Hydrogen Tank (7s)",""
"Pest Control Hub","Bugging Me",35,70160,370000,299840,8566,"Hydrogen Tank; Hydrogen Tank; Hydrogen Tank","Unknown","Hydrogen Tank (55s); Hydrogen Tank (13s)",""
"Pharmacy","Stick to the Script",25,42096,190000,147904,5916,"Hydrogen Tank","Unknown","Hydrogen Tank (2s); Hydrogen Tank (1s)",""
"Pharmacy","Always Read the Label",40,2645,170000,167355,4183,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (118s)",""
"Police Safehouse","Burn Notice",40,2645,180000,177355,4433,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (85s)",""
"Police Station","Piggy in the Middle",20,20050,140000,119950,5997,"Kerosene; Kerosene","Unknown","",""
"Post Office","Hold Fire",15,529,120000,119471,7964,"Gasoline","Unknown","",""
"Post Office","Light Fingered",25,1587,190000,188413,7536,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Post Office","Letter of the Law",25,42096,410000,367904,14716,"Hydrogen Tank","Unknown","Hydrogen Tank (2s); Hydrogen Tank (3s)",""
"Printing Store","Crisp Bills",15,529,33000,32471,2164,"Gasoline","Unknown","",""
"Private Security","Hire and Fire",20,20050,67000,46950,2347,"Kerosene; Kerosene","Unknown","",""
"Private Security","Beat the Odds",30,2116,350000,347884,11596,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Pub","Home and Dry",15,10025,43000,32975,2198,"Kerosene","Unknown","",""
"Pub","The Waiting Game",15,529,130000,129471,8631,"Gasoline","Unknown","",""
"Pub","The Declaration of Inebrience",20,20050,140000,119950,5997,"Kerosene; Kerosene","Unknown","",""
"Raceway","Finish Line",35,109385,170000,60615,1731,"Potassium Nitrate; Methane Tank; Methane Tank; Methane Tank; Methane Tank","Unknown","",""
"Ranch","Off the Market",20,28064,170000,141936,7096,"Hydrogen Tank","Unknown","Hydrogen Tank (2s)",""
"Ranch","The Fire Chief",30,2116,140000,137884,4596,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Ranch","The Empyre Strikes Back",20,1058,33000,31942,1597,"Gasoline; Gasoline","Unknown","",""
"Recording Studio","Roast Beef",65,54375,140000,85625,1317,"Gasoline; Gasoline; Potassium Nitrate","Unknown","","Blanket (44s); Blanket (7s); Blanket (2s); Blanket (1s); Blanket (2s); Blanket (2s); Blanket (3s); Blanket (6s)"
"Recycling Facility","Green With Envy",30,2116,110000,107884,3596,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Restaurant","Uber Heats",20,1058,54000,52942,2647,"Gasoline; Gasoline","Unknown","",""
"Restaurant","Burnt Ends",30,2116,180000,177884,5929,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Restaurant","Fire Kills 99.9% of Bacteria",15,14032,330000,315968,21064,"Hydrogen Tank","Unknown","",""
"Restroom","Shit Happens",25,58878,38000,-20878,-836,"Gasoline","Unknown","Potassium Nitrate (6s); Diesel (54s)",""
"Self Storage Container","Burned by Stupidity",20,28064,48000,19936,996,"Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Self Storage Container","Bone of Contention",20,529,22000,21471,1073,"Gasoline","Unknown","","Blanket (17s)"
"Self Storage Container","Smoldering Resentment",15,10025,20000,9975,665,"Kerosene","Unknown","",""
"Shack","The Bad Samaritan",50,1058,22000,20942,418,"Gasoline","Unknown","Unknown (8s); Unknown (5s); Gasoline (13s)","Blanket (37s); Blanket (1s); Blanket (1s); Blanket (2s)"
"Shack","Cut to the Chase",30,1587,99000,97413,3247,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (74s)",""
"Shack","Smoke Out",20,6547,12000,5453,272,"Gasoline","Unknown","",""
"Shopping Mall","Fire and Brimstone",15,529,140000,139471,9298,"Gasoline","Unknown","",""
"Shopping Mall","Mallrats",35,2116,410000,407884,11653,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (72s)",""
"Slaughterhouse","Raze the Steaks",35,2645,260000,257355,7353,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Slaughterhouse","Medium Rare",25,15096,420000,404904,16196,"Diesel; Diesel; Diesel","Unknown","",""
"Sports Arena","Foul Play",30,54904,110000,55096,1836,"Gasoline; Gasoline; Gasoline; Potassium Nitrate","Unknown","",""
"Sports Arena","Boxing Clever",20,1058,360000,358942,17947,"Gasoline; Gasoline","Unknown","",""
"Strip Club","Wedded to the Lie",20,63342,100000,36658,1832,"Kerosene; Potassium Nitrate","Unknown","",""
"Strip Club","Pyro for Pornos",25,54375,120000,65625,2625,"Gasoline; Gasoline; Potassium Nitrate","Unknown","",""
"Strip Club","Dirty Money",25,30075,370000,339925,13597,"Kerosene; Kerosene; Kerosene","Unknown","",""
"Suburban Home","Cold Feet",40,2645,110000,107355,2683,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (90s)",""
"Suburban Home","Twisted Firestarter",15,10025,18000,7975,531,"Kerosene","Unknown","",""
"Suburban Home","Political Firestorm",20,1058,54000,52942,2647,"Gasoline; Gasoline","Unknown","",""
"Suburban Home","Chasing Targets",20,20050,45000,24950,1247,"Kerosene; Kerosene","Unknown","",""
"Suburban Home","Fight Fire With Fire",20,1058,80000,78942,3947,"Gasoline; Gasoline","Unknown","",""
"Suburban Home","In Your Debt",20,28064,79000,50936,2546,"Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Subway","Remote Possibility",35,55433,78000,22567,644,"Gasoline; Gasoline; Gasoline; Gasoline; Potassium Nitrate","Unknown","",""
"Subway","Last Lyft Home",25,54375,75000,20625,825,"Gasoline; Gasoline; Potassium Nitrate","Unknown","",""
"Supermarket","Final Markdown",25,73367,130000,56633,2265,"Kerosene; Kerosene; Potassium Nitrate","Unknown","",""
"Supermarket","Marx & Sparks",35,2645,180000,177355,5067,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Supermarket","Supermarket Sweep",35,2645,290000,287355,8210,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Tattoo Parlor","Marked for Salvation",15,10025,85000,74975,4998,"Kerosene","Unknown","",""
"Tattoo Parlor","Needles to Say",15,10025,40000,29975,1998,"Kerosene","Unknown","",""
"Theater","Curtain Call",15,529,80000,79471,5298,"Gasoline","Unknown","",""
"Theater","Fire Burn and Cauldron Bubble",30,2116,180000,177884,5929,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Tool Shed","Eight Lives",15,529,10000,9471,631,"Gasoline","Unknown","",""
"Tool Shed","Unpopular Mechanics",15,10025,11000,975,65,"Kerosene","Unknown","",""
"Townhouse","A Problem Shared",35,2116,200000,197884,5653,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (83s)",""
