"Location","Story","Nerve","Cost","Reward","Profit","Profit/Nerve","Place","Ignite","Stoke","Dampen"
"Bazaar","Bang For Your Buck",20,7506,38000,30494,1524,"Gasoline","Unknown","",""
"Bazaar","Anon Starter",15,541,33000,32459,2163,"Gasoline","Unknown","",""
"Bazaar","Risky Business",15,14025,38000,23975,1598,"Hydrogen Tank","Unknown","",""
"Bazaar","A Mug's Game",20,1082,57000,55918,2795,"Gasoline; Gasoline","Unknown","",""
"Beach Hut","Beach Bum",20,1082,19000,17918,895,"Gasoline; Gasoline","Unknown","",""
"Beach Hut","A Rash Decision",20,1082,17000,15918,795,"Gasoline","Unknown","Gasoline (100s)",""
"Beach Hut","Naked Aggression",25,1082,36000,34918,1396,"Gasoline; Gasoline","Unknown","Unknown (57s)",""
"Bookies","Hot out of the Gate",15,541,69000,68459,4563,"Gasoline","Unknown","",""
"Bookies","Improving the Odds",35,149782,340000,190218,5434,"Diesel; Diesel; Diesel","Unknown","Magnesium Shavings (13s); Magnesium Shavings (17s)",""
"Bordello","Hell Fire",50,50332,220000,169668,3393,"Oxygen Tank; Oxygen Tank","Unknown (Crit)","Gasoline (11s); Gasoline (46s); Gasoline (31s); Unknown (36s); Unknown (11s); Gasoline (8s)",""
"Bordello","Milk Milk, Lemonade",15,541,180000,179459,11963,"Gasoline","Unknown","",""
"Bordello","Lover's Quarrel",30,1623,31000,29377,979,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (14s)",""
"Bordello","Camera Tricks",30,15648,120000,104352,3478,"Gasoline; Gasoline; Gasoline","Unknown","Hydrogen Tank (70s)",""
"Bowling Alley","Strike While it's Hot",25,42075,300000,257925,10317,"Hydrogen Tank","Unknown","Hydrogen Tank (2s); Hydrogen Tank (1s)",""
"Bungalow","For Closure",20,541,32000,31459,1572,"Gasoline","Unknown","Unknown (11s)",""
"Bungalow","Open House",15,541,59000,58459,3897,"Gasoline","Unknown","",""
"Bungalow","That Place Is History",25,1082,120000,118918,4756,"Gasoline; Gasoline","Unknown","Unknown (37s)",""
"Bungalow","Burning Memory",15,541,32000,31459,2097,"Gasoline","Unknown","",""
"Bus Terminal","End of the Line",15,541,47000,46459,3097,"Gasoline","Unknown","",""
"Bus Terminal","Beggars Can't be Choosers",55,247151,470000,222849,4051,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (15s); Hydrogen Tank (23s); Thermite (11s); Magnesium Shavings (3s); Unknown (6s); Magnesium Shavings (2s)",""
"Cafe","Long Pig",20,1082,150000,148918,7445,"Gasoline; Gasoline","Unknown","",""
"Cafe","Cold Brew Reality",25,42075,140000,97925,3917,"Hydrogen Tank","Unknown","Hydrogen Tank (31s); Hydrogen Tank (41s)",""
"Candle Shop","A Treat for the Tricked",25,15057,110000,94943,3797,"Gasoline; Gasoline","Unknown","",""
"Candle Shop","Rest in Peace",15,541,27000,26459,1763,"Gasoline","Unknown","",""
"Car Showroom","Emotional Wreck",30,1623,160000,158377,5279,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (55s)",""
"Car Showroom","Bright Spark",20,28039,270000,241961,12098,"Hydrogen Tank","Unknown","Methane Tank (34s)",""
"Car Wash","Out in the Wash",20,1082,260000,258918,12945,"Gasoline; Gasoline","Unknown","",""
"Casino","House Edge",25,1623,180000,178377,7135,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Casino","Burn the Deck",30,2164,130000,127836,4261,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Casino","House of Cards",25,42075,630000,587925,23517,"Hydrogen Tank","Unknown","Hydrogen Tank (5s); Hydrogen Tank (17s)",""
"Castle","Where There's a Will",20,541,48000,47459,2372,"Gasoline","Unknown","Unknown (4s)",""
"Chemical Plant","Gay Frogs",30,1623,46000,44377,1479,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (5s)",""
"Chiropractors Office","Back, Sack, and Crack",20,24246,320000,295754,14787,"Kerosene","Unknown","Hydrogen Tank (37s)",""
"Church","Carrying a Torch",40,2705,80000,77295,1932,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (31s)",""
"Church","Visions of the Savory",20,1323,56000,54677,2733,"Gasoline","Unknown","",""
"Church","Holy Smokes",15,14025,73000,58975,3931,"Hydrogen Tank","Unknown","",""
"Cinema","Final Cut",25,1623,160000,158377,6335,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Cinema","Burn After Screening",30,2164,120000,117836,3927,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Cleaning Agency","Clean Sweep",35,2164,120000,117836,3366,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (131s)",""
"Clock Tower","Cooking Time",30,82637,290000,207363,6912,"Diesel; Diesel; Diesel; Magnesium Shavings","Unknown","",""
"Clothing Store","Hot Trend",15,14025,66000,51975,3465,"Hydrogen Tank","Unknown","",""
"Clothing Store","All Mouth and Trousers",25,3172,110000,106828,4273,"Gasoline","Unknown","Unknown (1s)",""
"College","The Midnight Oil",35,2164,100000,97836,2795,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (22s)",""
"College","The Fat is in the Fire",40,2705,370000,367295,9182,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (87s)",""
"College","Igniting Curiosity",25,10783,110000,99217,3968,"Gasoline","Unknown","Unknown (5s)",""
"Community Center","Third-Degree Burn",20,541,46000,45459,2272,"Gasoline","Unknown","Unknown (18s)",""
"Cottage","Dead Giveaway",20,28050,67000,38950,1947,"Hydrogen Tank","Unknown","Hydrogen Tank (7s)",""
"Cottage","Local Concerns",20,541,44000,43459,2172,"Gasoline","Unknown","Unknown (14s)",""
"Cottage","A Hot Lead",45,3246,44000,40754,905,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Cottage","Fan the Flames",15,14025,37000,22975,1531,"Hydrogen Tank","Unknown","",""
"Cyber Cafe","Doxing Clever",55,261717,120000,-141717,-2577,"Gasoline; Gasoline; Gasoline; Gasoline; Hydrogen Tank; Hydrogen Tank","Unknown","Thermite (12s); Magnesium Shavings (Fail) (61s); Magnesium Shavings (1s)",""
"Cyber Cafe","Stink to High Heaven",20,28039,71000,42961,2148,"Hydrogen Tank","Unknown","Methane Tank (7s)",""
"Cruise Line","Rock the Boat",15,5164,350000,344836,22989,"Diesel","Unknown","",""
"Data Center","Burned Cookies",40,87801,160000,72199,1804,"Diesel; Diesel; Diesel; Diesel","Unknown","Magnesium Shavings (12s); Unknown (72s)",""
"Data Center","Cache and Burn",30,40884,550000,509116,16970,"Kerosene; Kerosene; Kerosene; Kerosene","Unknown","",""
"Dental Surgery","A Bitter Taste",40,2705,76000,73295,1832,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (16s)",""
"Detective Agency","Hot Pursuit",30,1623,80000,78377,2612,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (12s)",""
"Detective Agency","A Black Mark",15,541,220000,219459,14630,"Gasoline","Unknown","",""
"Detective Agency","Turn up the Heat",20,17525,63000,45475,2273,"Gasoline","Unknown","",""
"Diner","Hot Dinners",25,77473,71000,-6473,-259,"Diesel; Diesel","Unknown","Magnesium Shavings (8s)",""
"Diner","Dine and Dash",20,28050,81000,52950,2647,"Hydrogen Tank","Unknown","Hydrogen Tank (3s)",""
"Distillery","Get Wrecked",25,1623,83000,81377,3255,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Distillery","Whiskey Business",25,42042,100000,57958,2318,"Methane Tank; Methane Tank","Unknown","Methane Tank (45s)",""
"Drugs Lab","The Grass Ain't Greener",35,2164,91000,88836,2538,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (11s)",""
"Drugs Lab","Cooking the Books",20,541,38000,37459,1872,"Gasoline","Unknown","Unknown (3s)",""
"Electrical Substation","Wired for War",50,4328,490000,485672,9713,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Factory","Apart of the Problem",30,2164,270000,267836,8927,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Factory","The Fried Piper",15,14025,320000,305975,20398,"Hydrogen Tank","Unknown","",""
"Farmhouse","Ashes to Ancestors",30,1623,103000,101377,3379,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (69s)",""
"Farmhouse","Shaky Investment",20,28039,90000,61961,3098,"Hydrogen Tank","Unknown","Methane Tank (25s)",""
"Fertilizer Plant","Boom Industry",25,1623,130000,128377,5135,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Fire Station","Stop, Drop, and Lol",40,292234,310000,17766,444,"Kerosene; Kerosene; Kerosene; Thermite; Thermite","Unknown","Magnesium Shavings (11s)",""
"Firework Store","Sky High Prices",40,1015194,59000,-956194,-23905,"Gasoline; Gasoline; Potassium Nitrate; Gasoline; Gasoline","Unknown (Crit)","",""
"Fishing Hut","Smoke on the Water",15,541,7900,7359,490,"Gasoline","Unknown","",""
"Flower Shop","A Fungus Among Us",15,541,32000,31459,2097,"Gasoline","Unknown","",""
"Flower Shop","Planted",20,3925,130000,126075,6303,"Gasoline","Unknown","",""
"Forgery Workshop","Fire Sale",15,14025,12000,-2025,-135,"Hydrogen Tank","Unknown","",""
"Forgery Workshop","Shielded from the Truth",25,1082,27000,25918,1036,"Gasoline; Gasoline","Unknown","Unknown (4s)",""
"Foundry","Hot Under the Collar",55,209304,190000,-19304,-351,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Magnesium Shavings (14s); Diesel (16s); Magnesium Shavings (4s); Gasoline (7s); Magnesium Shavings (128s)",""
"Funeral Parlor","Specter of Destruction",15,541,74000,73459,4897,"Gasoline","Unknown","",""
"Funeral Parlor","Body of Evidence",30,1623,90000,88377,2945,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (43s)",""
"Furniture Store","Sofa King Cheap",20,28050,140000,111950,5597,"Hydrogen Tank","Unknown","Hydrogen Tank (3s)",""
"Game Shop","Don't Hate the Player",30,1623,45000,43377,1445,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (7s)",""
"Game Shop","Second Hand Smoke",20,28050,72000,43950,2197,"Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Gas Station","Blown to High Heaven",30,56130,56000,-130,-5,"Potassium Nitrate","Unknown","","Blanket (4s); Blanket (4s); Blanket (9s)"
"Grocery Store","One Rotten Apple",20,1082,190000,188918,9445,"Gasoline; Gasoline","Unknown","",""
"Grocery Store","Hot Profit",25,1082,97000,95918,3836,"Gasoline; Gasoline","Unknown","Unknown (17s)",""
"Grocery Store","Unspilled Beans",25,42075,220000,177925,7117,"Hydrogen Tank","Unknown","Hydrogen Tank (2s); Hydrogen Tank (1s)",""
"Grocery Store","Short Shelf Life",20,1082,440000,438918,21945,"Gasoline; Gasoline","Unknown","",""
"Gym","Gym'll Fix It",15,541,44000,43459,2897,"Gasoline","Unknown","",""
"Gym","Burning Calories",30,2164,110000,107836,3594,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Gym","Muscling In",20,1091,68000,66909,3345,"Gasoline","Unknown","",""
"Hair Salon","Hair Today...",20,28039,88000,59961,2998,"Hydrogen Tank","Unknown","Methane Tank (9s)",""
"Hardware Store","Stroke of Fortune",30,1623,130000,128377,4279,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (76s)",""
"Homeless Camp","Bummed Out",40,68912,140000,71088,1777,"Kerosene; Kerosene; Kerosene; Kerosene","Unknown","Methane Tank (22s); Methane Tank (35s)",""
"Hospital","Waist Not, Want Not",35,2164,240000,237836,6795,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (61s)",""
"Hospital","Not a Leg to Stand on",30,2164,220000,217836,7261,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Hospital","Make a Killing",25,20983,480000,459017,18360,"Gasoline; Kerosene; Kerosene","Unknown","",""
"Hospital","Mental Block",35,2164,580000,577836,16509,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (88s)",""
"Hospital","Searing Irony",30,2164,250000,247836,8261,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown (Crit)","",""
"Hotel","Spirit Level",25,1623,320000,318377,12735,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Hotel","Checking Out",15,14025,180000,165975,11065,"Hydrogen Tank","Unknown","",""
"Hotel","Landmark Decision",30,2164,270000,267836,8927,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Hunting Lodge","Hide and Seek",20,1082,34000,32918,1645,"Gasoline; Gasoline","Unknown","",""
"Hunting Lodge","On Fire at the Box Office",20,14025,33000,18975,948,"Hydrogen Tank","Unknown","Unknown (66s)",""
"Hunting Lodge","Bagged and Tagged",20,541,22000,21459,1072,"Gasoline","Unknown","Unknown (4s)",""
"Hunting Lodge","Pest Control",15,14025,19000,4975,331,"Hydrogen Tank","Unknown","",""
"Jewelry Store","Ring of Fire",20,28050,110000,81950,4097,"Hydrogen Tank","Unknown","Hydrogen Tank (18s)",""
"Laboratory","Playing With Fire",20,1082,240000,238918,11945,"Gasoline; Gasoline","Unknown","",""
"Laboratory","Bald Faced Destruction",30,71482,270000,198518,6617,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Lakehouse","Heat the Rich",35,2164,76000,73836,2109,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (13s)",""
"Lakehouse","Burning Through Cash",15,14025,120000,105975,7065,"Hydrogen Tank","Unknown","",""
"Lakehouse","It's a Write Off",15,541,240000,239459,15963,"Gasoline","Unknown","",""
"Law Firm","You're Fired!",30,1283,150000,148717,4957,"Gasoline; Gasoline","Unknown","Unknown (21s)",""
"Law Firm","The Smoking Gun",30,40884,430000,389116,12970,"Kerosene; Kerosene; Kerosene; Kerosene","Unknown","",""
"Law Firm","Under the Table",25,1082,420000,418918,16756,"Gasoline; Gasoline","Unknown","Unknown (45s)",""
"Library","Fire in the Belly",15,541,19000,18459,1230,"Gasoline","Unknown","",""
"Library","Read the Room",25,1623,150000,148377,5935,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Lifeguard Hut","Baewatch",15,541,16000,15459,1030,"Gasoline","Unknown","",""
"Lingerie Store","The Male Gaze",25,1623,100000,98377,3935,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Liquor Store","Liquor on the Back Row",15,541,34000,33459,2230,"Gasoline","Unknown","",""
"Liquor Store","Crafty Devil",15,541,102000,101459,6763,"Gasoline","Unknown","",""
"Liquor Store","Cop Some Heat",25,1623,47000,45377,1815,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Loanshark Office","Damned If You Don't",30,1623,170000,168377,5612,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (22s)",""
"Luxury Villa","Follow the Leader",25,42064,130000,87936,3517,"Hydrogen Tank; Hydrogen Tank","Unknown","Methane Tank (44s)",""
"Luxury Villa","Cook it Rare",25,30663,350000,319337,12773,"Kerosene; Kerosene; Kerosene","Unknown","",""
"Luxury Villa","Faction Fiction",25,1082,79000,77918,3116,"Gasoline; Gasoline","Unknown","Unknown (19s)",""
"Manor House","To the Manor Scorned",30,1623,86000,84377,2812,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (33s)",""
"Manor House","Kindling Spirits",35,2164,90000,87836,2509,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (16s)",""
"Manor House","Ash or Credit?",20,28050,190000,161950,8097,"Hydrogen Tank","Unknown","Hydrogen Tank (27s)",""
"Mechanic Shop","Beyond Repair",35,2164,94000,91836,2623,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (72s)",""
"Mechanic Shop","Like for Like",20,28050,95000,66950,3347,"Hydrogen Tank","Unknown","Hydrogen Tank (35s)",""
"Medical Center","See No Evil",35,2705,80000,77295,2208,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Medical Center","Clinical Exposure",20,26970,180000,153030,7651,"Gasoline","Unknown","",""
"Medical Center","Womb With a View",40,2705,120000,117295,2932,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (56s)",""
"Mobile Home","Cooked and Burned",20,2450,73000,70550,3527,"Gasoline","Unknown","",""
"Mobile Home","Out with a Bang",20,541,38000,37459,1872,"Gasoline","Unknown (Crit)","","Blanket (13s)"
"Mobile Home","Hot Off the Press",15,541,15000,14459,963,"Gasoline","Unknown","",""
"Mobile Home","Family Feud",15,541,22000,21459,1430,"Gasoline","Unknown","",""
"Motorcycle Club","Burn Rubber",30,3283,95000,91717,3057,"Gasoline; Gasoline","Unknown","Unknown (40s)",""
"Motorcycle Club","Raising Hell",30,1623,190000,188377,6279,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (66s)",""
"Music Store","The Savage Beast",15,541,160000,159459,10630,"Gasoline","Unknown","",""
"Music Store","Swansong",15,14025,51000,36975,2465,"Hydrogen Tank","Unknown","",""
"Newspaper Office","Hot Gossip",20,541,62000,61459,3072,"Gasoline","Unknown","Unknown (9s)",""
"Nightclub","Party Pooper",30,2164,77000,74836,2494,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Nightclub","Burn up the Dancefloor",20,1082,190000,188918,9445,"Gasoline; Gasoline","Unknown","",""
"Nightclub","Disco Inferno",15,14025,54000,39975,2665,"Hydrogen Tank","Unknown","",""
"Nightclub","Gentrifried",30,135372,210000,74628,2487,"Gasoline; Gasoline","Unknown","Magnesium Shavings (44s); Magnesium Shavings (7s)",""
"Office Block","Workplace Burnout",15,541,50000,49459,3297,"Gasoline","Unknown","",""
"Office Block","Burning Ambition",15,541,57000,56459,3763,"Gasoline","Unknown","",""
"Office Block","Chance of Redemption",15,541,48000,47459,3163,"Gasoline","Unknown","",""
"Office Block","Hostile Takeover",25,1623,320000,318377,12735,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Palace","The Ashes of Empire",15,541,170000,169459,11297,"Gasoline","Unknown","",""
"Paper Mill","It's Not All White",20,28050,170000,141950,7097,"Hydrogen Tank","Unknown","Hydrogen Tank (2s)",""
"Penthouse","Cleansed Through Fire",30,82637,190000,107363,3578,"Diesel; Diesel; Diesel; Magnesium Shavings","Unknown","",""
"Penthouse","Banking on It",35,6239,180000,173761,4964,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (38s)",""
"Penthouse","Cut Corners",20,28050,190000,161950,8097,"Hydrogen Tank","Unknown","Hydrogen Tank (3s)",""
"Pest Control Hub","Bugging Me",55,126225,200000,73775,1341,"Hydrogen Tank; Hydrogen Tank; Hydrogen Tank; Hydrogen Tank","Unknown","Hydrogen Tank (24s); Hydrogen Tank (26s); Hydrogen Tank (11s); Hydrogen Tank (4s); Hydrogen Tank (4s)",""
"Pharmacy","Stick to the Script",25,42075,190000,147925,5917,"Hydrogen Tank","Unknown","Hydrogen Tank (2s); Hydrogen Tank (1s)",""
"Pharmacy","Always Read the Label",50,69309,160000,90691,1813,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (20s); Magnesium Shavings (27s); Unknown (12s); Unknown (8s)",""
"Police Safehouse","Burn Notice",35,2164,190000,187836,5366,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (87s)",""
"Police Station","Piggy in the Middle",40,2705,150000,147295,3682,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (38s)",""
"Post Office","Hold Fire",15,541,120000,119459,7963,"Gasoline","Unknown","",""
"Post Office","Light Fingered",25,1623,190000,188377,7535,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Post Office","Letter of the Law",20,28050,340000,311950,15597,"Hydrogen Tank","Unknown","Hydrogen Tank (37s)",""
"Printing Store","Crisp Bills",15,541,34000,33459,2230,"Gasoline","Unknown","",""
"Private Security","Hire and Fire",15,541,37000,36459,2430,"Gasoline","Unknown","",""
"Private Security","Beat the Odds",25,1082,340000,338918,13556,"Gasoline; Gasoline","Unknown","Unknown (52s)",""
"Pub","Home and Dry",25,1082,92000,90918,3636,"Gasoline; Gasoline","Unknown","Unknown (8s)",""
"Pub","The Waiting Game",15,541,130000,129459,8630,"Gasoline","Unknown","",""
"Pub","The Declaration of Inebrience",30,2164,101000,98836,3294,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Raceway","Finish Line",30,76196,160000,83804,2793,"Oxygen Tank; Oxygen Tank","Unknown","Methane Tank (38s); Methane Tank (19s)",""
"Ranch","Off the Market",20,28050,170000,141950,7097,"Hydrogen Tank","Unknown","Hydrogen Tank (17s)",""
"Ranch","The Fire Chief",35,2164,150000,147836,4223,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (31s)",""
"Ranch","The Empyre Strikes Back",30,1623,71000,69377,2312,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (17s)",""
"Recording Studio","Roast Beef",95,3787,140000,136213,1433,"Gasoline; Gasoline","Unknown","Gasoline (24s); Gasoline (23s); Gasoline (20s); Unknown (8s); Gasoline (6s); Unknown (24s); Gasoline (7s)","Blanket (11s); Blanket (1s); Blanket (3s); Blanket (1s); Blanket (3s); Blanket (Fail) (5s); Blanket (2s); Blanket (9s)"
"Recycling Facility","Green With Envy",25,1623,120000,118377,4735,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Restaurant","Uber Heats",15,541,33000,32459,2163,"Gasoline","Unknown","",""
"Restaurant","Burnt Ends",35,2705,190000,187295,5351,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Restaurant","Fire Kills 99.9% of Bacteria",15,14025,330000,315975,21065,"Hydrogen Tank","Unknown","",""
"Restroom","Shit Happens",20,541,7600,7059,352,"Gasoline","Unknown","","Blanket (49s)"
"Self Storage Container","Burned by Stupidity",15,14025,28000,13975,931,"Hydrogen Tank","Unknown","",""
"Self Storage Container","Bone of Contention",20,541,27000,26459,1322,"Gasoline","Unknown","","Blanket (11s)"
"Self Storage Container","Smoldering Resentment",15,541,15000,14459,963,"Gasoline","Unknown","",""
"Shack","The Bad Samaritan",25,1623,21000,19377,775,"Gasoline; Gasoline","Unknown","Gasoline (69s)",""
"Shack","Cut to the Chase",30,1623,86000,84377,2812,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (58s)",""
"Shack","Smoke Out",20,7046,23000,15954,797,"Gasoline","Unknown","",""
"Shopping Mall","Fire and Brimstone",15,541,140000,139459,9297,"Gasoline","Unknown","",""
"Shopping Mall","Mallrats",30,2164,390000,387836,12927,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Slaughterhouse","Raze the Steaks",35,2705,260000,257295,7351,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Slaughterhouse","Medium Rare",25,10328,360000,349672,13986,"Diesel; Diesel","Unknown","Unknown (51s)",""
"Sports Arena","Foul Play",30,1623,120000,118377,3945,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (4s)",""
"Sports Arena","Boxing Clever",20,1082,360000,358918,17945,"Gasoline; Gasoline","Unknown","",""
"Strip Club","Wedded to the Lie",30,2164,85000,82836,2761,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Strip Club","Pyro for Pornos",15,541,48000,47459,3163,"Gasoline","Unknown","",""
"Strip Club","Dirty Money",15,14025,91000,76975,5131,"Hydrogen Tank","Unknown","",""
"Suburban Home","Cold Feet",35,1623,100000,98377,2810,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (22s); Unknown (71s)",""
"Suburban Home","Twisted Firestarter",15,541,21000,20459,1363,"Gasoline","Unknown","",""
"Suburban Home","Political Firestorm",15,541,27000,26459,1763,"Gasoline","Unknown","",""
"Suburban Home","Chasing Targets",35,1623,65000,63377,1810,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (16s); Unknown (70s)",""
"Suburban Home","Fight Fire With Fire",15,541,54000,53459,3563,"Gasoline","Unknown","",""
"Suburban Home","In Your Debt",15,14025,46000,31975,2131,"Hydrogen Tank","Unknown","",""
"Subway","Remote Possibility",25,1623,99000,97377,3895,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Subway","Last Lyft Home",15,541,43000,42459,2830,"Gasoline","Unknown","",""
"Supermarket","Final Markdown",20,14566,64000,49434,2471,"Gasoline","Unknown","Hydrogen Tank (7s)",""
"Supermarket","Marx & Sparks",40,2705,190000,187295,4682,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (18s)",""
"Supermarket","Supermarket Sweep",30,1623,260000,258377,8612,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (18s)",""
"Tattoo Parlor","Marked for Salvation",20,28050,73000,44950,2247,"Hydrogen Tank","Unknown","Hydrogen Tank (22s)",""
"Tattoo Parlor","Needles to Say",30,1623,65000,63377,2112,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (4s)",""
"Theater","Curtain Call",15,541,62000,61459,4097,"Gasoline","Unknown","",""
"Theater","Fire Burn and Cauldron Bubble",25,1623,150000,148377,5935,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Tool Shed","Eight Lives",15,541,8700,8159,543,"Gasoline","Unknown","",""
"Tool Shed","Unpopular Mechanics",15,541,9000,8459,563,"Gasoline","Unknown","",""
