"Location","Story","Nerve","Cost","Reward","Profit","Profit/Nerve","Place","Ignite","Dampen","Stoke"
"Drugs Lab","Cooking the Books",20,554,9900,9346,467,"Gasoline","Unknown (Fail); Unknown (2s)","",""
"Factory","The Fried Piper",15,14292,120000,105708,7047,"Kerosene","Unknown","",""
"Farmhouse","Shaky Investment",25,29956,140000,110044,4401,"Gasoline; Methane Tank","Unknown","","Methane Tank (2s)"
"Fishing Hut","Smoke on the Water",15,554,4500,3946,263,"Gasoline","Unknown","",""
"Flower Shop","A Fungus Among Us",15,554,10000,9446,629,"Gasoline","Unknown","",""
"Funeral Parlor","Specter of Destruction",20,6277,62000,55723,2786,"Gasoline","Unknown","",""
"Grocery Store","Hot Profit",15,554,15000,14446,963,"Gasoline","Unknown","",""
"Grocery Store","Short Shelf Life",30,15464,380000,364536,12151,"Gasoline","Unknown","","Diesel (1s); Diesel (48s); Diesel (35s)"
"Gym","Gym'll Fix It",15,554,13000,12446,829,"Gasoline","Unknown","",""
"Gym","Muscling In",20,1065,26000,24935,1246,"Gasoline","Unknown","",""
"Hospital","Not a Leg to Stand on",30,5524,39000,33476,1115,"Gasoline","Unknown","Blanket (21s); Blanket (1s)","Diesel (2s)"
"Hospital","Mental Block",40,104853,570000,465147,11628,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline; Thermite","Unknown","",""
"Hotel","Checking Out",15,14292,48000,33708,2247,"Kerosene","Unknown","",""
"Hunting Lodge","On Fire at the Box Office",15,24296,9000,-15296,-1020,"Oxygen Tank","Unknown","",""
"Hunting Lodge","Bagged and Tagged",15,554,8400,7846,523,"Gasoline","Unknown","",""
"Lakehouse","Heat the Rich",15,554,9000,8446,563,"Gasoline","Unknown","",""
"Lakehouse","Burning Through Cash",15,14292,43000,28708,1913,"Kerosene","Unknown","",""
"Lakehouse","It's a Write Off",25,1662,250000,248338,9933,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Law Firm","You're Fired!",20,765,25000,24235,1211,"Gasoline","Unknown","",""
"Liquor Store","Liquor on the Back Row",15,554,11000,10446,696,"Gasoline","Unknown","",""
"Liquor Store","Crafty Devil",15,554,104000,103446,6896,"Gasoline","Unknown","",""
"Luxury Villa","Follow the Leader",15,24296,33000,8704,580,"Oxygen Tank","Unknown","",""
"Luxury Villa","Cook it Rare",15,14292,40000,25708,1713,"Kerosene","Unknown","",""
"Luxury Villa","Faction Fiction",15,554,12000,11446,763,"Gasoline","Unknown","",""
"Manor House","To the Manor Scorned",30,33645,17000,-16645,-555,"Gasoline","Unknown","Sand (3s); Blanket (3s)","Diesel (51s)"
"Manor House","Kindling Spirits",15,554,12000,11446,763,"Gasoline","Unknown","",""
"Manor House","Ash or Credit?",15,14292,41000,26708,1780,"Kerosene","Unknown","",""
"Medical Center","See No Evil",15,554,13000,12446,829,"Gasoline","Unknown","",""
"Mobile Home","Family Feud",15,554,8300,7746,516,"Gasoline","Unknown","",""
"Motorcycle Club","Burn Rubber",20,3259,22000,18741,937,"Gasoline","Unknown","",""
"Music Store","The Savage Beast",45,99827,180000,80173,1781,"Gasoline","Unknown","Sand (31s); Sand (3s); Sand (6s)","Diesel (2s); Diesel (1s); Diesel (22s)"
"Newspaper Office","Hot Gossip",15,554,15000,14446,963,"Gasoline","Unknown","",""
"Nightclub","Party Pooper",20,1108,35000,33892,1694,"Gasoline; Gasoline","Unknown","",""
"Nightclub","Disco Inferno",15,14292,36000,21708,1447,"Kerosene","Unknown","",""
"Office Block","Workplace Burnout",15,554,15000,14446,963,"Gasoline","Unknown","",""
"Office Block","Burning Ambition",15,554,17000,16446,1096,"Gasoline","Unknown","",""
"Palace","The Ashes of Empire",15,554,76000,75446,5029,"Gasoline","Unknown","",""
"Penthouse","Cleansed Through Fire",15,4970,95000,90030,6002,"Diesel","Unknown","",""
"Pharmacy","Stick to the Script",15,14292,51000,36708,2447,"Kerosene","Unknown","",""
"Police Safehouse","Burn Notice",30,103745,180000,76255,2541,"Gasoline; Gasoline; Gasoline","Unknown","","Thermite (67s)"
"Printing Store","Crisp Bills",15,554,14000,13446,896,"Gasoline","Unknown","",""
"Private Security","Hire and Fire",15,554,15000,14446,963,"Gasoline","Unknown","",""
"Pub","The Waiting Game",15,554,120000,119446,7963,"Gasoline","Unknown","",""
"Ranch","Off the Market",15,14292,30000,15708,1047,"Kerosene","Unknown","",""
"Restaurant","Uber Heats",15,554,14000,13446,896,"Gasoline","Unknown","",""
"Self Storage Container","Burned by Stupidity",15,14292,33000,18708,1247,"Kerosene","Unknown","",""
"Self Storage Container","Bone of Contention",45,49146,13000,-36146,-804,"Gasoline","Unknown","Blanket (1s); Blanket (1s); Blanket (1s); Blanket (1s)","Oxygen Tank (1s); Oxygen Tank (1s)"
"Self Storage Container","Smoldering Resentment",15,554,6300,5746,383,"Gasoline","Unknown","",""
"Shack","Smoke Out",20,6479,10200,3721,186,"Gasoline","Unknown","",""
"Slaughterhouse","Medium Rare",35,14910,240000,225090,6431,"Diesel","Unknown","Blanket (6s); Blanket (2s)","Diesel (1s); Diesel (1s)"
"Sports Arena","Foul Play",15,554,15000,14446,963,"Gasoline","Unknown","",""
"Strip Club","Wedded to the Lie",15,554,14000,13446,896,"Gasoline","Unknown","",""
"Strip Club","Pyro for Pornos",15,554,17000,16446,1096,"Gasoline","Unknown","",""
"Strip Club","Dirty Money",15,14292,63000,48708,3247,"Kerosene","Unknown","",""
"Suburban Home","Political Firestorm",15,554,11000,10446,696,"Gasoline","Unknown","",""
"Suburban Home","Chasing Targets",15,554,11000,10446,696,"Gasoline","Unknown","",""
"Suburban Home","In Your Debt",15,14292,39000,24708,1647,"Kerosene","Unknown","",""
"Subway","Remote Possibility",15,554,13000,12446,829,"Gasoline","Unknown","",""
"Subway","Last Lyft Home",15,554,14000,13446,896,"Gasoline","Unknown","",""
"Supermarket","Marx & Sparks",15,554,20000,19446,1296,"Gasoline","Unknown","",""
"Tool Shed","Unpopular Mechanics",15,554,5200,4646,309,"Gasoline","Unknown","",""
"Townhouse","Daddy's Girl",15,14292,48000,33708,2247,"Kerosene","Unknown","",""
"Travel Agent","The Plane Truth",15,554,11000,10446,696,"Gasoline","Unknown","",""
"Warehouse","Lock, Stock, and Barrel",15,14292,39000,24708,1647,"Kerosene","Unknown","",""
"Waste Facility","Taking out the Trash",20,810,22000,21190,1059,"Gasoline","Unknown","",""
"Waste Facility","Smoke Signals",25,14910,110000,95090,3803,"Diesel","Unknown","","Diesel (2s); Diesel"
