"Location","Story","Nerve","Cost","Reward","Profit","Profit/Nerve","Place","Ignite","Stoke","Dampen"
"Bazaar","Bang For Your Buck",25,8066,53000,44934,1797,"Gasoline; Gasoline","Unknown","",""
"Bazaar","Anon Starter",15,553,24000,23447,1563,"Gasoline","Unknown","",""
"Bazaar","Risky Business",15,14088,35000,20912,1394,"Hydrogen Tank","Unknown","",""
"Bazaar","A Mug's Game",20,10026,36000,25974,1298,"Diesel; Diesel","Unknown","",""
"Beach Hut","Beach Bum",20,1106,20000,18894,944,"Gasoline; Gasoline","Unknown","",""
"Beach Hut","A Rash Decision",15,553,13000,12447,829,"Gasoline","Unknown","",""
"Beach Hut","Naked Aggression",20,10157,33000,22843,1142,"Kerosene","Unknown","Unknown (101s)",""
"Bookies","Hot out of the Gate",25,15614,91000,75386,3015,"Gasoline; Gasoline","Unknown","",""
"Bookies","Improving the Odds",25,70729,310000,239271,9570,"Diesel; Diesel; Magnesium Shavings","Unknown","",""
"Bordello","Hell Fire",45,26489,210000,183511,4078,"Gasoline; Gasoline; Oxygen Tank","Unknown","Unknown (8s); Gasoline (10s); Unknown (58s); Gasoline (16s)",""
"Bordello","Milk Milk, Lemonade",15,553,180000,179447,11963,"Gasoline","Unknown","",""
"Bordello","Lover's Quarrel",20,1106,27000,25894,1294,"Gasoline","Unknown","Gasoline (8s)",""
"Bordello","Camera Tricks",35,2212,100000,97788,2793,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (Crit) (71s)",""
"Bowling Alley","Strike While it's Hot",25,42264,300000,257736,10309,"Hydrogen Tank","Unknown","Hydrogen Tank (2s); Hydrogen Tank (1s)",""
"Bungalow","For Closure",30,2212,44000,41788,1392,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Bungalow","Open House",15,553,64000,63447,4229,"Gasoline","Unknown","",""
"Bungalow","That Place Is History",25,1659,120000,118341,4733,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Bungalow","Burning Memory",15,10157,16000,5843,389,"Kerosene","Unknown","",""
"Bus Terminal","End of the Line",35,51488,120000,68512,1957,"Gasoline; Gasoline; Gasoline; Gasoline; Potassium Nitrate","Unknown","",""
"Bus Terminal","Beggars Can't be Choosers",45,216995,580000,363005,8066,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline; Thermite; Thermite","Unknown","",""
"Cafe","Long Pig",15,553,150000,149447,9963,"Gasoline","Unknown","",""
"Cafe","Cold Brew Reality",25,42264,160000,117736,4709,"Hydrogen Tank","Unknown","Hydrogen Tank (7s); Hydrogen Tank (2s)",""
"Candle Shop","A Treat for the Tricked",30,67551,110000,42449,1414,"Gasoline; Gasoline; Potassium Nitrate","Unknown","",""
"Candle Shop","Rest in Peace",15,553,24000,23447,1563,"Gasoline","Unknown","",""
"Car Showroom","Emotional Wreck",35,2212,130000,127788,3651,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (69s)",""
"Car Showroom","Bright Spark",25,42264,310000,267736,10709,"Hydrogen Tank","Unknown","Hydrogen Tank (5s); Hydrogen Tank (1s)",""
"Car Wash","Out in the Wash",20,1106,250000,248894,12444,"Gasoline; Gasoline","Unknown","",""
"Casino","House Edge",25,1659,170000,168341,6733,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Casino","Burn the Deck",25,1659,78000,76341,3053,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Casino","House of Cards",25,42264,620000,577736,23109,"Hydrogen Tank","Unknown","Hydrogen Tank (3s); Hydrogen Tank (1s)",""
"Castle","Where There's a Will",30,50935,57000,6065,202,"Gasoline; Gasoline; Gasoline; Potassium Nitrate","Unknown","",""
"Chemical Plant","Gay Frogs",20,1106,23000,21894,1094,"Gasoline; Gasoline","Unknown","",""
"Chiropractors Office","Back, Sack, and Crack",20,28176,320000,291824,14591,"Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Church","Carrying a Torch",20,20314,66000,45686,2284,"Kerosene; Kerosene","Unknown","",""
"Church","Visions of the Savory",25,21087,120000,98913,3956,"Kerosene; Kerosene","Unknown","",""
"Church","Holy Smokes",25,42264,140000,97736,3909,"Hydrogen Tank; Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Cinema","Final Cut",30,2212,180000,177788,5926,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Cinema","Burn After Screening",20,1106,110000,108894,5444,"Gasoline; Gasoline","Unknown","",""
"Cleaning Agency","Clean Sweep",30,1659,150000,148341,4944,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (88s)",""
"Clock Tower","Cooking Time",30,75742,350000,274258,9141,"Diesel; Diesel; Magnesium Shavings","Unknown","Diesel (64s)",""
"Clothing Store","Hot Trend",15,14088,68000,53912,3594,"Hydrogen Tank","Unknown","",""
"Clothing Store","All Mouth and Trousers",20,3179,55000,51821,2591,"Gasoline","Unknown","",""
"College","The Midnight Oil",30,50935,90000,39065,1302,"Gasoline; Gasoline; Potassium Nitrate; Gasoline","Unknown","",""
"College","The Fat is in the Fire",40,2765,360000,357235,8930,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (91s)",""
"College","Igniting Curiosity",30,45778,260000,214222,7140,"Kerosene; Kerosene; Kerosene","Unknown","",""
"Community Center","Third-Degree Burn",15,553,19000,18447,1229,"Gasoline","Unknown","",""
"Cottage","Dead Giveaway",20,28176,72000,43824,2191,"Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Cottage","Local Concerns",30,50382,39000,-11382,-380,"Gasoline; Gasoline; Potassium Nitrate","Unknown","",""
"Cottage","A Hot Lead",20,1106,21000,19894,994,"Gasoline; Gasoline","Unknown","",""
"Cottage","Fan the Flames",25,38333,98000,59667,2386,"Kerosene; Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Cyber Cafe","Doxing Clever",40,109880,190000,80120,2003,"Gasoline; Gasoline; Gasoline; Thermite; Gasoline; Gasoline","Unknown","",""
"Cyber Cafe","Stink to High Heaven",20,28176,91000,62824,3141,"Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Cruise Line","Rock the Boat",15,5013,350000,344987,22999,"Diesel","Unknown","",""
"Data Center","Burned Cookies",25,70729,62000,-8729,-350,"Diesel; Diesel; Magnesium Shavings","Unknown","",""
"Data Center","Cache and Burn",30,40628,560000,519372,17312,"Kerosene; Kerosene; Kerosene; Kerosene","Unknown","",""
"Dental Surgery","A Bitter Taste",30,1106,40000,38894,1296,"Gasoline; Gasoline","Unknown","Unknown (10s); Unknown (34s)",""
"Detective Agency","Hot Pursuit",20,1106,56000,54894,2744,"Gasoline; Gasoline","Unknown","",""
"Detective Agency","A Black Mark",15,553,220000,219447,14629,"Gasoline","Unknown","",""
"Detective Agency","Turn up the Heat",30,64541,73000,8459,281,"Gasoline; Gasoline; Potassium Nitrate","Unknown","",""
"Diner","Hot Dinners",20,10026,66000,55974,2798,"Diesel; Diesel","Unknown","",""
"Diner","Dine and Dash",25,42264,120000,77736,3109,"Hydrogen Tank; Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Distillery","Get Wrecked",20,1106,95000,93894,4694,"Gasoline; Gasoline","Unknown","",""
"Distillery","Whiskey Business",20,28176,88000,59824,2991,"Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Drugs Lab","The Grass Ain't Greener",40,2212,60000,57788,1444,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (4s); Unknown (3s)",""
"Drugs Lab","Cooking the Books",25,50382,39000,-11382,-456,"Gasoline; Gasoline; Potassium Nitrate","Unknown","",""
"Electrical Substation","Wired for War",50,4424,480000,475576,9511,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Factory","Apart of the Problem",30,553,300000,299447,9981,"Gasoline","Unknown","Unknown (6s); Unknown (3s); Unknown (62s)",""
"Factory","The Fried Piper",15,14088,320000,305912,20394,"Hydrogen Tank","Unknown","",""
"Farmhouse","Ashes to Ancestors",35,50213,72000,21787,622,"Gasoline; Gasoline; Oxygen Tank","Unknown","Oxygen Tank (48s); Gasoline (44s)",""
"Farmhouse","Shaky Investment",15,14088,110000,95912,6394,"Hydrogen Tank","Unknown","",""
"Fertilizer Plant","Boom Industry",25,1659,110000,108341,4333,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Fire Station","Stop, Drop, and Lol",60,347077,320000,-27077,-452,"Gasoline; Gasoline; Thermite; Potassium Nitrate; Hydrogen Tank","Unknown","Hydrogen Tank (18s); Potassium Nitrate (40s); Diesel (4s); Thermite (11s); Unknown (16s)",""
"Firework Store","Sky High Prices",30,705760,56000,-649760,-21659,"Diesel; Potassium Nitrate; Oxygen Tank","Unknown","",""
"Fishing Hut","Smoke on the Water",20,1106,9300,8194,409,"Gasoline; Gasoline","Unknown","",""
"Flower Shop","A Fungus Among Us",30,1659,39000,37341,1244,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (1s)",""
"Flower Shop","Planted",20,3849,130000,126151,6307,"Gasoline","Unknown","",""
"Forgery Workshop","Fire Sale",15,14088,11000,-3088,-206,"Hydrogen Tank","Unknown","",""
"Forgery Workshop","Shielded from the Truth",15,10157,19000,8843,589,"Kerosene","Unknown","",""
"Foundry","Hot Under the Collar",75,200738,180000,-20738,-277,"Gasoline; Gasoline; Gasoline; Gasoline; Potassium Nitrate; Potassium Nitrate","Unknown","Diesel (68s); Magnesium Shavings (3s); Diesel (68s); Diesel (22s); Kerosene (14s); Unknown (7s); Methane Tank (9s)",""
"Funeral Parlor","Specter of Destruction",20,5312,76000,70688,3534,"Gasoline","Unknown","",""
"Funeral Parlor","Body of Evidence",35,60408,90000,29592,845,"Gasoline; Gasoline; Potassium Nitrate","Unknown","Diesel (100s); Diesel (14s)",""
"Furniture Store","Sofa King Cheap",20,28176,140000,111824,5591,"Hydrogen Tank","Unknown","Hydrogen Tank (3s)",""
"Game Shop","Don't Hate the Player",20,1106,38000,36894,1844,"Gasoline; Gasoline","Unknown","",""
"Game Shop","Second Hand Smoke",20,28176,73000,44824,2241,"Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Gas Station","Blown to High Heaven",25,24277,94000,69723,2788,"Oxygen Tank","Unknown","","Blanket (6s); Blanket (24s)"
"Grocery Store","One Rotten Apple",20,1106,180000,178894,8944,"Gasoline; Gasoline","Unknown","",""
"Grocery Store","Hot Profit",20,59433,110000,50567,2528,"Kerosene; Potassium Nitrate","Unknown","",""
"Grocery Store","Unspilled Beans",25,42264,220000,177736,7109,"Hydrogen Tank","Unknown","Hydrogen Tank (3s); Hydrogen Tank (1s)",""
"Grocery Store","Short Shelf Life",20,1106,440000,438894,21944,"Gasoline; Gasoline","Unknown","",""
"Gym","Gym'll Fix It",25,50382,44000,-6382,-256,"Gasoline; Gasoline; Potassium Nitrate","Unknown","",""
"Gym","Burning Calories",15,10157,37000,26843,1789,"Kerosene","Unknown","",""
"Gym","Muscling In",25,1617,69000,67383,2695,"Gasoline; Gasoline","Unknown","",""
"Hair Salon","Hair Today...",20,28176,77000,48824,2441,"Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Hardware Store","Stroke of Fortune",35,2765,130000,127235,3635,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Homeless Camp","Bummed Out",30,87583,170000,82417,2747,"Potassium Nitrate; Kerosene; Methane Tank","Unknown","Methane Tank (65s)",""
"Hospital","Waist Not, Want Not",30,2212,240000,237788,7926,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Hospital","Not a Leg to Stand on",35,2212,180000,177788,5079,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (12s); Gasoline (3s)",""
"Hospital","Make a Killing",25,20867,480000,459133,18365,"Gasoline; Kerosene; Kerosene","Unknown","",""
"Hospital","Mental Block",35,109327,590000,480673,13733,"Gasoline; Gasoline; Gasoline; Gasoline; Thermite","Unknown","",""
"Hospital","Searing Irony",30,2212,280000,277788,9259,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Hotel","Spirit Level",25,1659,320000,318341,12733,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Hotel","Checking Out",25,42264,300000,257736,10309,"Hydrogen Tank; Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Hotel","Landmark Decision",35,2765,310000,307235,8778,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Hunting Lodge","Hide and Seek",30,2212,30000,27788,926,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Hunting Lodge","On Fire at the Box Office",15,14088,10000,-4088,-273,"Hydrogen Tank","Unknown","",""
"Hunting Lodge","Bagged and Tagged",15,10157,22000,11843,789,"Kerosene","Unknown","",""
"Hunting Lodge","Pest Control",20,28176,35000,6824,341,"Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Jewelry Store","Ring of Fire",20,28176,120000,91824,4591,"Hydrogen Tank","Unknown","Hydrogen Tank (3s)",""
"Laboratory","Playing With Fire",15,553,240000,239447,15963,"Gasoline","Unknown","",""
"Laboratory","Bald Faced Destruction",30,71647,270000,198353,6611,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Lakehouse","Heat the Rich",20,1106,43000,41894,2094,"Gasoline; Gasoline","Unknown","",""
"Lakehouse","Burning Through Cash",15,14088,130000,115912,7727,"Hydrogen Tank","Unknown","",""
"Lakehouse","It's a Write Off",25,1659,250000,248341,9933,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Law Firm","You're Fired!",30,2212,170000,167788,5592,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Law Firm","The Smoking Gun",30,40628,490000,449372,14979,"Kerosene; Kerosene; Kerosene; Kerosene","Unknown","",""
"Law Firm","Under the Table",20,1106,430000,428894,21444,"Gasoline; Gasoline","Unknown","",""
"Library","Fire in the Belly",35,2212,40000,37788,1079,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (7s)",""
"Library","Read the Room",25,30471,150000,119529,4781,"Kerosene; Kerosene; Kerosene","Unknown","",""
"Lifeguard Hut","Baewatch",15,10157,17000,6843,456,"Kerosene","Unknown (Crit)","",""
"Lingerie Store","The Male Gaze",25,1659,130000,128341,5133,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Liquor Store","Liquor on the Back Row",15,10157,38000,27843,1856,"Kerosene","Unknown","",""
"Liquor Store","Crafty Devil",15,553,106000,105447,7029,"Gasoline","Unknown","",""
"Liquor Store","Cop Some Heat",20,1106,49000,47894,2394,"Gasoline; Gasoline","Unknown","",""
"Loanshark Office","Damned If You Don't",15,553,100000,99447,6629,"Gasoline","Unknown","",""
"Luxury Villa","Follow the Leader",30,56352,140000,83648,2788,"Hydrogen Tank; Hydrogen Tank; Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Luxury Villa","Cook it Rare",25,30471,380000,349529,13981,"Kerosene; Kerosene; Kerosene","Unknown","",""
"Luxury Villa","Faction Fiction",20,59433,87000,27567,1378,"Kerosene; Potassium Nitrate","Unknown","",""
"Manor House","To the Manor Scorned",30,64470,105000,40530,1351,"Gasoline; Gasoline; Potassium Nitrate; Hydrogen Tank","Unknown","",""
"Manor House","Kindling Spirits",25,30471,90000,59529,2381,"Kerosene; Kerosene; Kerosene","Unknown","",""
"Manor House","Ash or Credit?",20,28176,210000,181824,9091,"Hydrogen Tank","Unknown","Hydrogen Tank (2s)",""
"Mechanic Shop","Beyond Repair",30,55395,83000,27605,920,"Gasoline; Gasoline; Potassium Nitrate","Unknown","Diesel (71s)",""
"Mechanic Shop","Like for Like",20,28176,110000,81824,4091,"Hydrogen Tank","Unknown","Hydrogen Tank (6s)",""
"Medical Center","See No Evil",25,20314,80000,59686,2387,"Kerosene; Kerosene","Unknown (Fail); Unknown (2s)","",""
"Medical Center","Clinical Exposure",20,27372,190000,162628,8131,"Gasoline","Unknown","",""
"Medical Center","Womb With a View",20,20314,58000,37686,1884,"Kerosene; Kerosene","Unknown","",""
"Mobile Home","Cooked and Burned",25,51841,84000,32159,1286,"Gasoline; Potassium Nitrate","Unknown","",""
"Mobile Home","Out with a Bang",20,553,35000,34447,1722,"Gasoline","Unknown","","Blanket (13s)"
"Mobile Home","Hot Off the Press",15,10157,32000,21843,1456,"Kerosene","Unknown","",""
"Mobile Home","Family Feud",15,553,8000,7447,496,"Gasoline","Unknown","",""
"Motorcycle Club","Burn Rubber",25,22629,100000,77371,3094,"Kerosene; Kerosene","Unknown","",""
"Motorcycle Club","Raising Hell",30,1659,190000,188341,6278,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (66s)",""
"Music Store","The Savage Beast",20,1106,190000,188894,9444,"Gasoline; Gasoline","Unknown","",""
"Music Store","Swansong",20,24232,61000,36768,1838,"Kerosene; Methane Tank","Unknown","",""
"Newspaper Office","Hot Gossip",25,1106,77000,75894,3035,"Gasoline; Gasoline","Unknown (Fail); Unknown (2s)","",""
"Nightclub","Party Pooper",20,20314,84000,63686,3184,"Kerosene; Kerosene","Unknown","",""
"Nightclub","Burn up the Dancefloor",20,1106,180000,178894,8944,"Gasoline; Gasoline","Unknown","",""
"Nightclub","Disco Inferno",25,42264,140000,97736,3909,"Hydrogen Tank; Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Nightclub","Gentrifried",25,25327,230000,204673,8186,"Kerosene; Kerosene","Unknown","Diesel (50s)",""
"Office Block","Workplace Burnout",20,1106,75000,73894,3694,"Gasoline; Gasoline","Unknown","",""
"Office Block","Burning Ambition",20,20314,72000,51686,2584,"Kerosene; Kerosene","Unknown","",""
"Office Block","Chance of Redemption",20,10710,94000,83290,4164,"Gasoline; Kerosene","Unknown","",""
"Office Block","Hostile Takeover",25,1659,310000,308341,12333,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Palace","The Ashes of Empire",20,1106,200000,198894,9944,"Gasoline; Gasoline","Unknown","",""
"Paper Mill","It's Not All White",20,28176,190000,161824,8091,"Hydrogen Tank","Unknown","Hydrogen Tank (3s)",""
"Penthouse","Cleansed Through Fire",25,70729,200000,129271,5170,"Diesel; Diesel; Magnesium Shavings","Unknown","",""
"Penthouse","Banking on It",30,8412,220000,211588,7052,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Penthouse","Cut Corners",30,56352,320000,263648,8788,"Hydrogen Tank; Hydrogen Tank; Hydrogen Tank","Unknown","Hydrogen Tank (7s)",""
"Pest Control Hub","Bugging Me",35,70440,370000,299560,8558,"Hydrogen Tank; Hydrogen Tank; Hydrogen Tank","Unknown","Hydrogen Tank (55s); Hydrogen Tank (13s)",""
"Pharmacy","Stick to the Script",25,42264,190000,147736,5909,"Hydrogen Tank","Unknown","Hydrogen Tank (2s); Hydrogen Tank (1s)",""
"Pharmacy","Always Read the Label",40,2765,170000,167235,4180,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (118s)",""
"Police Safehouse","Burn Notice",40,2765,180000,177235,4430,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (85s)",""
"Police Station","Piggy in the Middle",20,20314,140000,119686,5984,"Kerosene; Kerosene","Unknown","",""
"Post Office","Hold Fire",15,553,120000,119447,7963,"Gasoline","Unknown","",""
"Post Office","Light Fingered",25,1659,190000,188341,7533,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Post Office","Letter of the Law",25,42264,410000,367736,14709,"Hydrogen Tank","Unknown","Hydrogen Tank (2s); Hydrogen Tank (3s)",""
"Printing Store","Crisp Bills",15,553,33000,32447,2163,"Gasoline","Unknown","",""
"Private Security","Hire and Fire",20,20314,67000,46686,2334,"Kerosene; Kerosene","Unknown","",""
"Private Security","Beat the Odds",30,2212,350000,347788,11592,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Pub","Home and Dry",15,10157,43000,32843,2189,"Kerosene","Unknown","",""
"Pub","The Waiting Game",15,553,130000,129447,8629,"Gasoline","Unknown","",""
"Pub","The Declaration of Inebrience",20,20314,140000,119686,5984,"Kerosene; Kerosene","Unknown","",""
"Raceway","Finish Line",35,105576,170000,64424,1840,"Potassium Nitrate; Methane Tank; Methane Tank; Methane Tank; Methane Tank","Unknown","",""
"Ranch","Off the Market",20,28176,180000,151824,7591,"Hydrogen Tank","Unknown","Hydrogen Tank (3s)",""
"Ranch","The Fire Chief",30,2212,140000,137788,4592,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Ranch","The Empyre Strikes Back",20,1106,33000,31894,1594,"Gasoline; Gasoline","Unknown","",""
"Recording Studio","Roast Beef",65,50382,140000,89618,1378,"Gasoline; Gasoline; Potassium Nitrate","Unknown","","Blanket (44s); Blanket (7s); Blanket (2s); Blanket (1s); Blanket (2s); Blanket (2s); Blanket (3s); Blanket (6s)"
"Recycling Facility","Green With Envy",25,6119,100000,93881,3755,"Diesel; Gasoline; Gasoline","Unknown","",""
"Restaurant","Uber Heats",20,1106,54000,52894,2644,"Gasoline; Gasoline","Unknown","",""
"Restaurant","Burnt Ends",30,2212,180000,177788,5926,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Restaurant","Fire Kills 99.9% of Bacteria",15,14088,330000,315912,21060,"Hydrogen Tank","Unknown","",""
"Restroom","Shit Happens",25,54842,38000,-16842,-674,"Gasoline","Unknown","Potassium Nitrate (6s); Diesel (54s)",""
"Self Storage Container","Burned by Stupidity",20,28176,48000,19824,991,"Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Self Storage Container","Bone of Contention",20,553,22000,21447,1072,"Gasoline","Unknown","","Blanket (17s)"
"Self Storage Container","Smoldering Resentment",15,10157,20000,9843,656,"Kerosene","Unknown","",""
"Shack","The Bad Samaritan",50,1106,22000,20894,417,"Gasoline","Unknown","Unknown (8s); Unknown (5s); Gasoline (13s)","Blanket (37s); Blanket (1s); Blanket (1s); Blanket (2s)"
"Shack","Cut to the Chase",30,1659,99000,97341,3244,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (74s)",""
"Shack","Smoke Out",20,6582,12000,5418,270,"Gasoline","Unknown","",""
"Shopping Mall","Fire and Brimstone",15,553,140000,139447,9296,"Gasoline","Unknown","",""
"Shopping Mall","Mallrats",35,2212,410000,407788,11651,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (72s)",""
"Slaughterhouse","Raze the Steaks",35,2765,260000,257235,7349,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Slaughterhouse","Medium Rare",25,15039,420000,404961,16198,"Diesel; Diesel; Diesel","Unknown","",""
"Sports Arena","Foul Play",25,1659,130000,128341,5133,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Sports Arena","Boxing Clever",20,1106,360000,358894,17944,"Gasoline; Gasoline","Unknown","",""
"Strip Club","Wedded to the Lie",20,59433,100000,40567,2028,"Kerosene; Potassium Nitrate","Unknown","",""
"Strip Club","Pyro for Pornos",25,50382,120000,69618,2784,"Gasoline; Gasoline; Potassium Nitrate","Unknown","",""
"Strip Club","Dirty Money",25,30471,410000,379529,15181,"Kerosene; Kerosene; Kerosene","Unknown","",""
"Suburban Home","Cold Feet",40,2765,110000,107235,2680,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (90s)",""
"Suburban Home","Twisted Firestarter",15,10157,18000,7843,522,"Kerosene","Unknown","",""
"Suburban Home","Political Firestorm",20,1106,54000,52894,2644,"Gasoline; Gasoline","Unknown","",""
"Suburban Home","Chasing Targets",20,20314,45000,24686,1234,"Kerosene; Kerosene","Unknown","",""
"Suburban Home","Fight Fire With Fire",20,1106,80000,78894,3944,"Gasoline; Gasoline","Unknown","",""
"Suburban Home","In Your Debt",20,28176,79000,50824,2541,"Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Subway","Remote Possibility",25,50382,70000,19618,784,"Gasoline; Gasoline; Potassium Nitrate","Unknown","",""
"Subway","Last Lyft Home",25,50382,75000,24618,984,"Gasoline; Gasoline; Potassium Nitrate","Unknown","",""
"Supermarket","Final Markdown",25,69590,130000,60410,2416,"Kerosene; Kerosene; Potassium Nitrate","Unknown","",""
"Supermarket","Marx & Sparks",35,2765,180000,177235,5063,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Supermarket","Supermarket Sweep",35,2765,290000,287235,8206,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Tattoo Parlor","Marked for Salvation",15,10157,85000,74843,4989,"Kerosene","Unknown","",""
"Tattoo Parlor","Needles to Say",15,10157,40000,29843,1989,"Kerosene","Unknown","",""
"Theater","Curtain Call",15,553,80000,79447,5296,"Gasoline","Unknown","",""
"Theater","Fire Burn and Cauldron Bubble",30,2212,180000,177788,5926,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Tool Shed","Eight Lives",15,553,10000,9447,629,"Gasoline","Unknown","",""
"Tool Shed","Unpopular Mechanics",15,10157,11000,843,56,"Kerosene","Unknown","",""
"Townhouse","A Problem Shared",35,2212,200000,197788,5651,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (83s)",""
